::1 - - [15/Jul/2026:12:16:39 +0000] "GET /ler-clientes-delivery HTTP/1.1" 200 74277 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:39 +0000] "GET /ler-produtos HTTP/1.1" 200 91876 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:47 +0000] "POST /novo-pedido/delivery HTTP/1.1" 201 40 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:47 +0000] "GET /ler-taxa-delivery HTTP/1.1" 200 18 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:47 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 707 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:56 +0000] "POST /novo-pedido/delivery HTTP/1.1" 201 40 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:56 +0000] "GET /ler-taxa-delivery HTTP/1.1" 200 18 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:16:56 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 1447 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::ffff:192.168.18.163 - - [15/Jul/2026:12:16:59 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=pendente HTTP/1.1" 200 1447 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:17:03 +0000] "PATCH /carregar-pedido-delivery/f1992d00-296a-46a2-8162-ed495c49800f HTTP/1.1" 200 345 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:17:03 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=pendente HTTP/1.1" 200 707 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:17:04 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=carregado HTTP/1.1" 200 764 "-" "okhttp/4.12.0"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-formas-pagamento-externa HTTP/1.1" 200 291 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-clientes-delivery HTTP/1.1" 200 74277 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-produtos HTTP/1.1" 200 91875 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-formas-pagamento-externa HTTP/1.1" 200 291 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-taxa-delivery HTTP/1.1" 200 18 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 1470 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-clientes-delivery HTTP/1.1" 200 74277 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-taxa-delivery HTTP/1.1" 200 18 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 1470 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::1 - - [15/Jul/2026:12:19:35 +0000] "GET /ler-produtos HTTP/1.1" 200 91875 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) amiguinho-balcao/1.0.0 Chrome/140.0.7339.249 Electron/38.7.2 Safari/537.36"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:00 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=pendente HTTP/1.1" 200 707 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:04 +0000] "PATCH /carregar-pedido-delivery/eb392a1c-0856-4aec-b3c6-632b95283d44 HTTP/1.1" 200 343 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:05 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=pendente HTTP/1.1" 200 2 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:08 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=carregado HTTP/1.1" 200 1493 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:17 +0000] "PATCH /finalizar-pedido-delivery/f1992d00-296a-46a2-8162-ed495c49800f HTTP/1.1" 200 393 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:17 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15&status=carregado HTTP/1.1" 200 730 "-" "okhttp/4.12.0"
::ffff:192.168.18.163 - - [15/Jul/2026:12:21:19 +0000] "GET /buscar-pedidos?setor=delivery&dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 1541 "-" "okhttp/4.12.0"
::1 - - [15/Jul/2026:17:17:23 +0000] "GET /tempo-medio-entregas?dataInicio=2026-06-01&dataFim=2026-06-06 HTTP/1.1" 401 27 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:17:39 +0000] "POST /login HTTP/1.1" 200 295 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:18:01 +0000] "GET /tempo-medio-entregas?dataInicio=2026-06-01&dataFim=2026-06-15 HTTP/1.1" 200 82 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:18:16 +0000] "GET /tempo-medio-entregas?dataInicio=2026-06-01&dataFim=2026-06-15 HTTP/1.1" 200 82 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:22:43 +0000] "GET /tempo-medio-entregas?dataInicio=2026-06-01&dataFim=2026-06-15 HTTP/1.1" 200 82 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:22:45 +0000] "GET /tempo-medio-entregas?dataInicio=2026-06-01&dataFim=2026-06-15 HTTP/1.1" 200 82 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:23:04 +0000] "GET /tempo-medio-entregas?dataInicio=2026-06-01&dataFim=2026-06-15 HTTP/1.1" 200 82 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:24:48 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-01&dataFim=2026-07-15 HTTP/1.1" - - "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:30:57 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-01&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:17:44:00 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-01&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:18:20:32 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:18:20:34 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:18:21:49 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:18:24:38 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
::1 - - [15/Jul/2026:18:24:39 +0000] "GET /tempo-medio-entregas?dataInicio=2026-07-15&dataFim=2026-07-15 HTTP/1.1" 200 262 "-" "Apidog/1.0.0 (https://apidog.com)"
